,Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness
0,638,R,BU,296,BinarySearch,nan,TRUE
499,638,I,TD,241.4880952,BubbleSort,Outlier,FALSE
3,784,R,BU,438,BinarySearch,nan,TRUE
4,829,R,BU,449,BinarySearch,nan,FALSE
5,841,R,BU,123,BinarySearch,nan,TRUE
6,857,R,BU,467,BinarySearch,nan,TRUE
7,938,R,BU,575,BinarySearch,nan,TRUE
8,643,R,BU,425,BubbleSort,nan,FALSE
9,694,R,BU,154,BubbleSort,nan,FALSE
10,704,R,BU,255,BubbleSort,nan,TRUE
11,715,R,BU,255,BubbleSort,nan,TRUE
12,733,R,BU,366,BubbleSort,nan,TRUE
13,739,R,BU,313,BubbleSort,nan,FALSE
14,748,R,BU,205,BubbleSort,nan,TRUE
15,756,R,BU,256,BubbleSort,nan,TRUE
16,757,R,BU,289,BubbleSort,nan,FALSE
17,772,R,BU,82,BubbleSort,nan,FALSE
18,780,R,BU,150,BubbleSort,nan,TRUE
20,789,R,BU,296,BubbleSort,nan,FALSE
21,801,R,BU,209,BubbleSort,nan,FALSE
22,813,R,BU,198,BubbleSort,nan,TRUE
232,715,I,BU,612,Fibonacci,notNormal,TRUE
24,831,R,BU,110,BubbleSort,nan,TRUE
25,832,R,BU,286,BubbleSort,nan,FALSE
26,833,R,BU,124,BubbleSort,nan,FALSE
27,854,R,BU,179,BubbleSort,nan,FALSE
28,855,R,BU,362,BubbleSort,nan,FALSE
29,875,R,BU,284,BubbleSort,nan,TRUE
30,876,R,BU,202,BubbleSort,nan,FALSE
31,900,R,BU,143,BubbleSort,nan,TRUE
32,939,R,BU,257,BubbleSort,nan,TRUE
33,945,R,BU,179,BubbleSort,nan,TRUE
34,631,R,BU,191,Factorial,nan,TRUE
35,699,R,BU,76,Factorial,nan,TRUE
36,700,R,BU,90,Factorial,nan,FALSE
37,716,R,BU,109,Factorial,nan,TRUE
39,734,R,BU,30,Factorial,nan,TRUE
40,737,R,BU,28,Factorial,nan,TRUE
41,761,R,BU,202,Factorial,nan,TRUE
42,767,R,BU,41,Factorial,nan,FALSE
43,773,R,BU,74,Factorial,nan,TRUE
44,774,R,BU,82,Factorial,nan,TRUE
45,794,R,BU,15,Factorial,nan,TRUE
46,799,R,BU,43,Factorial,nan,TRUE
47,805,R,BU,117,Factorial,nan,TRUE
48,817,R,BU,144,Factorial,nan,TRUE
49,825,R,BU,87,Factorial,nan,TRUE
50,828,R,BU,70,Factorial,nan,TRUE
51,837,R,BU,39,Factorial,nan,TRUE
53,852,R,BU,258,Factorial,nan,FALSE
54,859,R,BU,55,Factorial,nan,TRUE
55,860,R,BU,61,Factorial,nan,TRUE
57,886,R,BU,90,Factorial,nan,TRUE
58,894,R,BU,31,Factorial,nan,TRUE
59,936,R,BU,78,Factorial,nan,TRUE
60,946,R,BU,81,Factorial,nan,TRUE
61,958,R,BU,25,Factorial,nan,TRUE
62,653,R,BU,161,Fibonacci,nan,TRUE
63,707,R,BU,52,Fibonacci,nan,TRUE
64,717,R,BU,66,Fibonacci,nan,FALSE
65,730,R,BU,184,Fibonacci,nan,TRUE
66,735,R,BU,149,Fibonacci,nan,TRUE
67,740,R,BU,145,Fibonacci,nan,TRUE
68,744,R,BU,99,Fibonacci,nan,FALSE
69,759,R,BU,311,Fibonacci,nan,FALSE
70,762,R,BU,107,Fibonacci,nan,FALSE
71,768,R,BU,85,Fibonacci,nan,FALSE
72,782,R,BU,87,Fibonacci,nan,FALSE
73,787,R,BU,267,Fibonacci,nan,FALSE
74,793,R,BU,126,Fibonacci,nan,FALSE
75,803,R,BU,65,Fibonacci,nan,TRUE
76,804,R,BU,359,Fibonacci,nan,TRUE
78,830,R,BU,113,Fibonacci,nan,FALSE
79,834,R,BU,35,Fibonacci,nan,FALSE
80,851,R,BU,50,Fibonacci,nan,TRUE
81,853,R,BU,85,Fibonacci,nan,TRUE
82,867,R,BU,73,Fibonacci,nan,TRUE
83,880,R,BU,584,Fibonacci,nan,FALSE
84,888,R,BU,314,Fibonacci,nan,TRUE
85,898,R,BU,167,Fibonacci,nan,TRUE
86,941,R,BU,436,Fibonacci,nan,FALSE
88,653,R,BU,147,IntegerBinary,nan,TRUE
90,730,R,BU,115,IntegerBinary,nan,FALSE
91,735,R,BU,263,IntegerBinary,nan,TRUE
92,744,R,BU,126,IntegerBinary,nan,TRUE
93,759,R,BU,173,IntegerBinary,nan,FALSE
94,762,R,BU,148,IntegerBinary,nan,FALSE
95,803,R,BU,74,IntegerBinary,nan,TRUE
96,830,R,BU,187,IntegerBinary,nan,FALSE
97,834,R,BU,58,IntegerBinary,nan,FALSE
98,853,R,BU,139,IntegerBinary,nan,FALSE
99,880,R,BU,116,IntegerBinary,nan,FALSE
100,888,R,BU,326,IntegerBinary,nan,TRUE
101,941,R,BU,456,IntegerBinary,nan,TRUE
103,694,R,BU,107,MultiplyMatrix,nan,FALSE
104,704,R,BU,523,MultiplyMatrix,nan,TRUE
105,739,R,BU,127,MultiplyMatrix,nan,FALSE
106,757,R,BU,85,MultiplyMatrix,nan,FALSE
108,813,R,BU,192,MultiplyMatrix,nan,FALSE
109,832,R,BU,454,MultiplyMatrix,nan,TRUE
293,716,I,BU,231.475,ReverseString,Outlier,TRUE
111,855,R,BU,42,MultiplyMatrix,nan,FALSE
176,717,I,BU,231.475,BubbleSort,Outlier,FALSE
113,876,R,BU,440,MultiplyMatrix,nan,FALSE
114,939,R,BU,556,MultiplyMatrix,nan,TRUE
115,631,R,BU,224,PrimeFactors,nan,FALSE
116,699,R,BU,126,PrimeFactors,nan,FALSE
117,700,R,BU,137,PrimeFactors,nan,FALSE
445,735,R,TD,174.7607362,PrimeFactors,Outlier,FALSE
